"type","language","license","rightsHolder","accessRights","institutionCode","collectionCode","institutionID","collectionID","datasetID","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","occurrenceID","catalogNumber","otherCatalogNumbers","preparations","disposition","associatedSequences","organismQuantity","organismQuantityType","duplicateLocation","recordNumber","recordedBy","verbatimEventDate","eventDate","year","month","day","continent","country","countryCode","stateProvince","county","locality","habitat","verbatimElevation","minimumElevationInMeters","maximumElevationInMeters","verbatimCoordinateSystem","verbatimCoordinates","decimalLatitude","decimalLongitude","geodeticDatum","georeferenceRemarks","kingdom","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identificationQualifier","verbatimTaxonRank","taxonID","scientificName","verbatimScientificName","synomym","previousIdentifications","vernacularName","identifiedBy","herbAffiliation","dateIdentified","typeStatus","associatedReferences","nomenclaturalCode","taxonRank","occurrenceRemarks","lifeStage","growthHabit","establishmentMeans","useCategory","verbatimUse","catalogerName","catalogYear","permitBy","permitName","permitType","permitStatus","permitStatusQualifier","permitURI","permitText","mobilizationCode","collectionCodeMAE","depositCode","observation"
"PhysicalObject","es","https://creativecommons.org/licenses/by-nc/4.0/","Universidad Tecnica Particular de Loja","CC BY NC 4.0","UTPL","HUTPL:V","f1014ac9-c45c-487b-87b6-ac906a129104","866f902a-1483-4bad-9ae1-961a1e27455e","","Vascular","UTPL","PreservedSpecimen","","HUTPL:V:15686","15686","","exicate","collection","","1","speciment part","","2468","M.M. Jiménez León","12/7/2024","2024-12-07","2024","12","7","South America","Ecuador","EC","Morona Santiago","San Juan Bosco","Jungle Dave's Farm, vía Gualaquiza-San Juan Bosco","","1740 m","1740","","utm","770772 9650982 UTM","-3.154776","-78.563707","WGS84","accepted","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Satyria","leucostoma","","","","","","Satyria leucostoma","Satyria leucostoma","","","","M.M. Jiménez","HUTPL","2024-12-07","","","ICN","species","","","","","","","J.L. Armijos Barros","2025","A. Benítez","Estudio de diversidad taxonómica y genética de plantas y hongos del Ecuador","contrato marco","permit available","","","MAATE-DNB-CM-2022-0248-M-0001","3654","","DEP-2025-8",""
"PhysicalObject","es","https://creativecommons.org/licenses/by-nc/4.0/","Universidad Tecnica Particular de Loja","CC BY NC 4.0","UTPL","HUTPL:V","f1014ac9-c45c-487b-87b6-ac906a129104","866f902a-1483-4bad-9ae1-961a1e27455e","","Vascular","UTPL","PreservedSpecimen","","HUTPL:V:15687","15687","","exicate","collection","","1","speciment part","","2469","M.M. Jiménez León","12/7/2024","2024-12-07","2024","12","7","South America","Ecuador","EC","Morona Santiago","San Juan Bosco","Jungle Dave's Farm, vía Gualaquiza-San Juan Bosco","","1740 m","1740","","utm","770772 9650982 UTM","-3.154776","-78.563707","WGS84","accepted","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Sphyrospermum","buxifolium","","Poepp. & Endl.","","","ec.bio.spp.17133","Sphyrospermum buxifolium","Sphyrospermum buxifolium Poepp. & Endl.","","","","M.M. Jiménez","HUTPL","2024-12-07","","","ICN","species","","","","","","","J.L. Armijos Barros","2025","A. Benítez","Estudio de diversidad taxonómica y genética de plantas y hongos del Ecuador","contrato marco","permit available","","","MAATE-DNB-CM-2022-0248-M-0001","3654","","DEP-2025-8",""
"PhysicalObject","es","https://creativecommons.org/licenses/by-nc/4.0/","Universidad Tecnica Particular de Loja","CC BY NC 4.0","UTPL","HUTPL:V","f1014ac9-c45c-487b-87b6-ac906a129104","866f902a-1483-4bad-9ae1-961a1e27455e","","Vascular","UTPL","PreservedSpecimen","","HUTPL:V:15688","15688","","exicate","collection","","2","speciment part","","2470","M.M. Jiménez León","12/7/2024","2024-12-07","2024","12","7","South America","Ecuador","EC","Morona Santiago","San Juan Bosco","Jungle Dave's Farm, vía Gualaquiza-San Juan Bosco","","1860 m","1860","","utm","770298 9651112 UTM","-3.153611","-78.567972","WGS84","accepted","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Thibaudia","sessiliflora","","","","","","Thibaudia sessiliflora","Thibaudia sessiliflora","","","","M.M. Jiménez","HUTPL","2024-12-07","","","ICN","species","","","","","","","J.L. Armijos Barros","2025","A. Benítez","Estudio de diversidad taxonómica y genética de plantas y hongos del Ecuador","contrato marco","permit available","","","MAATE-DNB-CM-2022-0248-M-0001","3654","","DEP-2025-8",""
"PhysicalObject","es","https://creativecommons.org/licenses/by-nc/4.0/","Universidad Tecnica Particular de Loja","CC BY NC 4.0","UTPL","HUTPL:V","f1014ac9-c45c-487b-87b6-ac906a129104","866f902a-1483-4bad-9ae1-961a1e27455e","","Vascular","UTPL","PreservedSpecimen","","HUTPL:V:15689","15689","","exicate","collection","","1","speciment part","","2472","M.M. Jiménez León","12/7/2024","2024-12-07","2024","12","7","South America","Ecuador","EC","Morona Santiago","San Juan Bosco","Jungle Dave's Farm, vía Gualaquiza-San Juan Bosco","","1860 m","1860","","utm","770298 9651112 UTM","-3.153611","-78.567972","WGS84","accepted","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Macleania","mollis","","A.C.Sm.","","","ec.bio.spp.17041","Macleania mollis","Macleania mollis A.C.Sm.","","","","M.M. Jiménez","HUTPL","2024-12-07","","","ICN","species","","","","","","","J.L. Armijos Barros","2025","A. Benítez","Estudio de diversidad taxonómica y genética de plantas y hongos del Ecuador","contrato marco","permit available","","","MAATE-DNB-CM-2022-0248-M-0001","3654","","DEP-2025-8",""
"PhysicalObject","es","https://creativecommons.org/licenses/by-nc/4.0/","Universidad Tecnica Particular de Loja","CC BY NC 4.0","UTPL","HUTPL:V","f1014ac9-c45c-487b-87b6-ac906a129104","866f902a-1483-4bad-9ae1-961a1e27455e","","Vascular","UTPL","PreservedSpecimen","","HUTPL:V:15690","15690","","exicate","collection","","1","speciment part","","2473","M.M. Jiménez León","12/7/2024","2024-12-07","2024","12","7","South America","Ecuador","EC","Morona Santiago","San Juan Bosco","Jungle Dave's Farm, vía Gualaquiza-San Juan Bosco","","1838 m","1838","","utm","770427 9651160 UTM","-3.153174","-78.566813","WGS84","accepted","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Macleania","mollis","","A.C.Sm.","","","ec.bio.spp.17041","Macleania mollis","Macleania mollis A.C.Sm.","","","","M.M. Jiménez","HUTPL","2024-12-07","","","ICN","species","","","","","","","J.L. Armijos Barros","2025","A. Benítez","Estudio de diversidad taxonómica y genética de plantas y hongos del Ecuador","contrato marco","permit available","","","MAATE-DNB-CM-2022-0248-M-0001","3654","","DEP-2025-8",""
"PhysicalObject","es","https://creativecommons.org/licenses/by-nc/4.0/","Universidad Tecnica Particular de Loja","CC BY NC 4.0","UTPL","HUTPL:V","f1014ac9-c45c-487b-87b6-ac906a129104","866f902a-1483-4bad-9ae1-961a1e27455e","","Vascular","UTPL","PreservedSpecimen","","HUTPL:V:15691","15691","","exicate","collection","","1","speciment part","","2477","M.M. Jiménez León|A. Chamba","12/8/2024","2024-12-08","2024","12","8","South America","Ecuador","EC","Morona Santiago","San Juan Bosco","Jungle Dave's Farm, vía Gualaquiza-San Juan Bosco","","1877 m","1877","","utm","770430 9650640 UTM","-3.157874","-78.566775","WGS84","accepted","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Macleania","floribunda","","Hook.","","","ec.bio.spp.17033","Macleania floribunda","Macleania floribunda Hook.","","","","M.M. Jiménez","HUTPL","2024-12-08","","","ICN","species","","","","","","","J.L. Armijos Barros","2025","A. Benítez","Estudio de diversidad taxonómica y genética de plantas y hongos del Ecuador","contrato marco","permit available","","","MAATE-DNB-CM-2022-0248-M-0001","3654","","DEP-2025-8",""
"PhysicalObject","es","https://creativecommons.org/licenses/by-nc/4.0/","Universidad Tecnica Particular de Loja","CC BY NC 4.0","UTPL","HUTPL:V","f1014ac9-c45c-487b-87b6-ac906a129104","866f902a-1483-4bad-9ae1-961a1e27455e","","Vascular","UTPL","PreservedSpecimen","","HUTPL:V:15692","15692","","exicate","collection","","1","speciment part","","2478","M.M. Jiménez León|A. Chamba","12/8/2024","2024-12-08","2024","12","8","South America","Ecuador","EC","Morona Santiago","San Juan Bosco","Jungle Dave's Farm, vía Gualaquiza-San Juan Bosco","","1926 m","1926","","utm","770304 9650800 UTM","-3.156431","-78.567911","WGS84","accepted","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Disterigma","acuminatum","","(Kunth) Nied.","","","ec.bio.spp.16952","Disterigma acuminatum","Disterigma acuminatum (Kunth) Nied.","","","","M.M. Jiménez","HUTPL","2024-12-08","","","ICN","species","","","","","","","J.L. Armijos Barros","2025","A. Benítez","Estudio de diversidad taxonómica y genética de plantas y hongos del Ecuador","contrato marco","permit available","","","MAATE-DNB-CM-2022-0248-M-0001","3654","","DEP-2025-8",""
"PhysicalObject","es","https://creativecommons.org/licenses/by-nc/4.0/","Universidad Tecnica Particular de Loja","CC BY NC 4.0","UTPL","HUTPL:V","f1014ac9-c45c-487b-87b6-ac906a129104","866f902a-1483-4bad-9ae1-961a1e27455e","","Vascular","UTPL","PreservedSpecimen","","HUTPL:V:15693","15693","","exicate","collection","","1","speciment part","","2480","M.M. Jiménez León|A. Chamba","12/8/2024","2024-12-08","2024","12","8","South America","Ecuador","EC","Morona Santiago","San Juan Bosco","Jungle Dave's Farm, vía Gualaquiza-San Juan Bosco","","1926 m","1926","","utm","17M 770304 9650800 UTM","-3.156431","-78.567911","WGS84","accepted","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Trichosalpinx","","","Luer","","","ec.bio.spp.1032","Trichosalpinx","Trichosalpinx Luer","","","","L.E. Baquero","","2024-12-10","","","ICN","genus","Epifita en ramas del estrato bajo.","","","","","","J.L. Armijos Barros","2025","A. Benítez","Estudio de diversidad taxonómica y genética de plantas y hongos del Ecuador","contrato marco","permit available","","","MAATE-DNB-CM-2022-0248-M-0001","3654","","DEP-2025-8",""
"PhysicalObject","es","https://creativecommons.org/licenses/by-nc/4.0/","Universidad Tecnica Particular de Loja","CC BY NC 4.0","UTPL","HUTPL:V","f1014ac9-c45c-487b-87b6-ac906a129104","866f902a-1483-4bad-9ae1-961a1e27455e","","Vascular","UTPL","PreservedSpecimen","","HUTPL:V:15694","15694","","exicate","collection","","1","speciment part","","2498","M.M. Jiménez León|M. Jiménez Villalta","","2024-12-29","2024","12","29","South America","Ecuador","EC","Zamora Chinchipe","Zamora","Vía antigua Loja-Zamora, tramo hasta El Retorno, cerca de Delsitanisagua","","1592 m","1592","","utm","17M 721810 9555006 UTM","-4.023478","-79.002161","WGS84","accepted","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Sphyrospermum","lanceolatum","","Luteyn","","","ec.bio.spp.17143","Sphyrospermum lanceolatum","Sphyrospermum lanceolatum Luteyn","","","","M.M. Jiménez León","HUTPL","2024-12-30","","","ICN","species","Epifita, pendiente.","","","","","","J.L. Armijos Barros","2025","A. Benítez","Estudio de diversidad taxonómica y genética de plantas y hongos del Ecuador","contrato marco","permit available","","","MAATE-DNB-CM-2022-0248-M-0001","3658","","DEP-2025-8",""
"PhysicalObject","es","https://creativecommons.org/licenses/by-nc/4.0/","Universidad Tecnica Particular de Loja","CC BY NC 4.0","UTPL","HUTPL:V","f1014ac9-c45c-487b-87b6-ac906a129104","866f902a-1483-4bad-9ae1-961a1e27455e","","Vascular","UTPL","PreservedSpecimen","","HUTPL:V:15695","15695","","exicate","collection","","1","speciment part","","2499","M.M. Jiménez León|M. Jiménez Villalta","","2025-01-27","2025","1","27","South America","Ecuador","EC","Zamora Chinchipe","El Pangui","Cordillera de Shagmi, Cordillera del Cóndor flank, between El Pangui and Los Encuentros,","Bosque montano bajo húmedo","1490 m","1490","","degrees minutes seconds","3°43'25.3"" S 78°32'1.2"" W","-3.723694","-78.533667","WGS84","accepted","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Disterigma","leucanthum","","","","","","Disterigma leucanthum","Disterigma leucanthum","","","","M.M. Jiménez León","HUTPL","2025-01-28","","","ICN","species","Terrestre en talud junto a una quebrada.","","","","","","J.L. Armijos Barros","2025","A. Benítez","Estudio de diversidad taxonómica y genética de plantas y hongos del Ecuador","contrato marco","permit available","","","MAATE-DNB-CM-2022-0248-M-0001","3658","","DEP-2025-8",""
